Date,Open,High,Low,Close,Adj Close,Volume
2/8/21,72.410004,72.660004,58.02,60,60,25687300
2/9/21,56.610001,57,46.52,50.310001,50.310001,26843100
2/10/21,50.77,62.830002,46.549999,51.200001,51.200001,36455000
2/11/21,50.009998,55.32,48.220001,51.099998,51.099998,12997400
2/12/21,50.75,55.240002,48.049999,52.400002,52.400002,14498000
2/13/21,5000000,5000000,5000000,5000000,5000000,5000000
2/14/21,5000000,5000000,5000000,5000000,5000000,5000000
2/15/21,5000000,5000000,5000000,5000000,5000000,5000000
2/16/21,52.66,53.5,49.040001,49.509998,49.509998,8175000
2/17/21,49.77,51.189999,44.560001,45.939999,45.939999,9186800
2/18/21,48.490002,48.869999,40.650002,40.689999,40.689999,23990600
2/19/21,41.279999,43.889999,38.5,40.59,40.59,14828200
2/20/21,5000000,5000000,5000000,5000000,5000000,5000000
2/21/21,5000000,5000000,5000000,5000000,5000000,5000000
2/22/21,46.689999,48.509998,42.400002,46,46,19476000
2/23/21,44.970001,46.23,40,44.970001,44.970001,7565200
2/24/21,44.700001,91.709999,44.700001,91.709999,91.709999,83111700
2/25/21,169.559998,184.679993,101,108.730003,108.730003,150308800
2/26/21,117.459999,142.899994,86,101.739998,101.739998,91963000
2/27/21,5000000,5000000,5000000,5000000,5000000,5000000
2/28/21,5000000,5000000,5000000,5000000,5000000,5000000
3/1/21,104.540001,133.990005,99.970001,120.400002,120.400002,49597300
3/2/21,116.93,133.199997,112.199997,118.18,118.18,33640400
3/3/21,122.510002,127.75,113.120003,124.18,124.18,19173700
3/4/21,125,147.869995,115.300003,132.350006,132.350006,32473600
3/5/21,128.169998,151.529999,127.5,137.740005,137.740005,30660200
3/6/21,5000000,5000000,5000000,5000000,5000000,5000000
3/7/21,5000000,5000000,5000000,5000000,5000000,5000000
3/8/21,154.889999,210.869995,146.100006,194.5,194.5,63424800
3/9/21,217.710007,249.850006,208.509995,246.899994,246.899994,38725800
3/10/21,269.429993,348.5,172,265,265,71361900
3/11/21,241.639999,281.5,232.600006,260,260,28186000
3/12/21,275,295.5,262.269989,264.5,264.5,25760700
3/13/21,5000000,5000000,5000000,5000000,5000000,5000000
3/14/21,5000000,5000000,5000000,5000000,5000000,5000000
3/15/21,277.519989,283,206,220.139999,220.139999,24100400
3/16/21,203.160004,220.699997,172.350006,208.169998,208.169998,35241900
3/17/21,217.839996,231.470001,204,209.809998,209.809998,16259300
3/18/21,214,218.880005,195.649994,201.75,201.75,11764900
3/19/21,195.729996,227,182.660004,200.270004,200.270004,24552100
3/20/21,5000000,5000000,5000000,5000000,5000000,5000000
3/21/21,5000000,5000000,5000000,5000000,5000000,5000000
3/22/21,205.259995,210.360001,186.199997,194.490005,194.490005,10061500
3/23/21,197.5,201.75,177.550003,181.75,181.75,14429100
3/24/21,157.979996,166.970001,118.620003,120.339996,120.339996,24177900
3/25/21,123.489998,187.5,116.900002,183.75,183.75,50633100
