Artist_Name,Latitude,Longitude,City,Country,State,Region
Walk The Moon,39.1064,-84.5047,Cincinnati,United States,OH,Midwest
Thomas Rhett,30.8347,-83.2809,Valdosta,United States,GA,South
Ne-Yo,36.1719,-115.14,Las Vegas,United States,NV,West
Darius Rucker,32.7812,-79.9316,Charleston,United States,SC,South
Selena Gomez,33.973951,-118.248405,Los Angeles,United States,CA,West
Brett Eldredge,39.638496,-87.740488,Paris,United States,IL,Midwest
Taylor Swift,40.3366,-75.9278,Reading,United States,PA,Northeast
Nicki Minaj,40.7146,-74.0071,New York,United States,NY,Northeast
Imagine Dragons,36.1719,-115.14,Las Vegas,United States,NV,West
Kenny Chesney,36.15369,-83.78241,Corryton,United States,TN,South
Flo Rida,25.729,-80.2374,Miami,United States,FL,South
Meghan Trainor,41.2852,-70.0993,Nantucket,United States,MA,Northeast
Dej Loaf,42.3317,-83.0479,Detroit,United States,MI,Midwest
Eric Church,35.79652,-81.43065,Granite Falls,United States,NC,South
RaeLynn,29.733283,-94.994123,Baytown,United States,TX,South
Lee Brice,33.913678,-80.354238,Sumter,United States,SC,South
Florida Georgia Line,36.1678,-86.7784,Nashville,United States,TN,South
Ariana Grande,26.375954,-80.10717,Boca Raton,United States,FL,South
Fergie,33.9936,-117.971,Hacienda Heights,United States,CA,West
Kid Ink,33.973951,-118.248405,Los Angeles,United States,CA,West
Brad Paisley,39.962545,-80.719815,Glendale,United States,WV,South
Jason Aldean,32.8397,-83.6276,Macon,United States,GA,South
Tim McGraw,32.45764,-91.49317,Delhi,United States,LA,South
Carrie Underwood,35.47,-95.5224,Checotah,United States,OK,South
Big Sean,42.3317,-83.0479,Detroit,United States,MI,Midwest
Rae Sremmurd,34.2574,-88.7078,Tupelo,United States,MS,South
I LOVE MAKONNEN,33.7483,-84.3911,Atlanta,United States,GA,South
Parmalee,35.81655,-77.31413,Parmele,United States,NC,South
August Alsina,29.9537,-90.0777,New Orleans,United States,LA,South
Fall Out Boy,42.0756,-87.7077,Wilmette,United States,IL,Midwest
Nick Jonas,41.0108,-74.1667,Wyckoff,United States,NJ,Northeast
DJ Khaled,25.729,-80.2374,Miami,United States,FL,South
Trey Songz,37.2281,-77.4035,Petersburg,United States,VA,South
Beyonce,29.7605,-95.3698,Houston,United States,TX,South
Maroon 5,33.973951,-118.248405,Los Angeles,United States,CA,West
Blake Shelton,36.1678,-86.7784,Nashville,United States,TN,South
Juicy J,35.169255,-89.990415,Memphis,United States,TN,South
Pitbull,25.729,-80.2374,Miami,United States,FL,South
T.I.,33.7483,-84.3911,Atlanta,United States,GA,South
Bobby Shmurda,40.7146,-74.0071,New York,United States,NY,Northeast
Maddie,36.1678,-86.7784,Nashville,United States,TN,South
Rich Gang,33.7483,-84.3911,Atlanta,United States,GA,South
Colbie Caillat,34.039034,-118.707992,Malibu,United States,CA,West
Jeremih,41.8842,-87.6324,Chicago,United States,IL,Midwest
Michael Ray,33.973951,-118.248405,Los Angeles,United States,CA,West
Jamie Foxx,32.758408,-96.301323,Terrell,United States,TX,South
Chris Janson,37.7253,-89.8624,Perryville,United States,MO,Midwest
Frankie Ballard,42.3162,-85.1802,Battle Creek,United States,MI,Midwest
Zac Brown Band,34.541371,-84.024387,Dahlonega,United States,GA,South
A$AP Rocky,40.7146,-74.0071,New York,United States,NY,Northeast
Luke Bryan,36.1678,-86.7784,Nashville,United States,TN,South
Meghan Linsey,30.9742,-91.5238,0,United States,LA,South
Sawyer Fredericks,42.877533,-74.404477,Fultonville,United States,NY,Northeast
Nick Fradiani,41.2833,-72.6833,Guilford,United States,CT,Northeast
Chris Young,35.8444,-86.3943,Murfreesboro,United States,TN,South
Jidenna,44.3867,89.8231,Wisconsin Rapids,United States,WI,Midwest
Shaggy,40.7146,-74.0071,New York,United States,NY,Northeast
Britney Spears,30.814466,-90.428043,Kentwood,United States,LA,South
Miguel,33.973951,-118.248405,Los Angeles,United States,CA,West
Chedda Da Connect,29.7605,-95.3698,Houston,United States,TX,South
Brantley Gilbert,34.1186,-83.571,Jefferson,United States,GA,South
Twenty One Pilots,39.962,-83.003,Columbus,United States,OH,Midwest
Mariah Carey,40.7146,-74.0071,New York,United States,NY,Northeast
Kevin Gates,30.4434,-91.187,Baton Rouge,United States,LA,South
Rich Homie Quan,33.7483,-84.3911,Atlanta,United States,GA,South
Nate Ruess,33.5386,-112.186,Glendale,United States,AZ,West
Panic! At The Disco,36.1719,-115.14,Las Vegas,United States,NV,West
X Ambassadors,42.4433,-76.5,Ithaca,United States,NY,Northeast
Rachel Platten,40.7146,-74.0071,New York,United States,NY,Northeast
T-Wayne,29.9537,-90.0777,New Orleans,United States,LA,South
Easton Corbin,29.6151,-82.8184,Trenton,United States,FL,South
Who Is Fancy,33.608922,-91.207356,Bentonville,United States,AR,South
Wale,38.8938,-77.0146,Washington D.C.,United States,District of Columbia,South
Kelsea Ballerini,35.9243,-86.8709,Franklin,United States,TN,South
Future,33.7483,-84.3911,Atlanta,United States,GA,South
Dillon Francis,33.973951,-118.248405,Los Angeles,United States,CA,West
Ludacris,33.7483,-84.3911,Atlanta,United States,GA,South
Canaan Smith,37.2756,-76.7097,Williamsburg,United States,VA,South
Action Bronson,40.7146,-74.0071,New York,United States,NY,Northeast
Breaking Benjamin,41.243648,-75.885029,Wilkes-Barre,United States,PA,Northeast
Kendrick Lamar,33.8953,-118.224,Compton,United States,CA,West
Echosmith,33.973951,-118.248405,Los Angeles,United States,CA,West
Jason Derulo,25.729,-80.2374,Miami,United States,FL,South
Wiz Khalifa,40.4383,-79.9975,Pittsburgh,United States,PA,Northeast
LunchMoney Lewis,25.729,-80.2374,Miami,United States,FL,South
Kanye West,41.8842,-87.6324,Chicago,United States,IL,Midwest
Billy Currington,32.285205,-81.287526,Rincon,United States,GA,South
Skrillex,33.973951,-118.248405,Los Angeles,United States,CA,West
