SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,genre_larger
All I Want For Christmas Is YouMariah Carey,Mariah Carey,All I Want For Christmas Is You,"['dance pop', 'pop', 'r&b', 'urban contemporary']",0bYg9bo50gSsH3LtXe2SQn,https://p.scdn.co/mp3-preview/ab4f06069148ef8510d8681164479601d4617bed?cid=b8d3901151d34489a160e3cf0ab1fa94,Merry Christmas,False,241106.0,95.0,0.335,0.625,7.0,-7.462,1.0,0.0386,0.164,0.0,0.0708,0.346,150.277,4.0,dance pop,pop
Rockin' Around The Christmas TreeBrenda Lee,Brenda Lee,Rockin' Around The Christmas Tree,"['adult standards', 'brill building pop']",2EjXfH91m7f8HiJN1yQg97,,Merry Christmas From Brenda Lee,False,126266.0,90.0,0.589,0.472,8.0,-8.749,1.0,0.0502,0.614,0.0,0.505,0.898,67.196,4.0,adult standards,adult standards
The Christmas Song (Merry Christmas To You)Nat King Cole,Nat King Cole,The Christmas Song (Merry Christmas To You),['adult standards'],4PS1e8f2LvuTFgUs1Cn3ON,,The Christmas Song (Expanded Edition),False,192160.0,86.0,0.319,0.21,1.0,-15.231,1.0,0.0341,0.92,8.06e-05,0.138,0.209,78.696,4.0,adult standards,adult standards
ThrillerMichael Jackson,Michael Jackson,Thriller,"['pop', 'r&b', 'soul']",7azo4rpSUh8nXgtonC6Pkq,https://p.scdn.co/mp3-preview/9f288fba4d3380b1ae25e7f88a2054d7fac0bf2d?cid=b8d3901151d34489a160e3cf0ab1fa94,Scream,False,358053.0,69.0,0.764,0.887,11.0,-3.725,1.0,0.0738,0.0816,0.000108,0.847,0.721,118.421,4.0,pop,pop
ApplauseLady Gaga,Lady Gaga,Applause,"['dance pop', 'pop']",5ka2ajep9OAvU5Sgduhiex,,ARTPOP,False,212333.0,71.0,0.669,0.78,7.0,-4.287,0.0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,4.0,dance pop,pop
Story Of My LifeOne Direction,One Direction,Story Of My Life,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",4nVBt6MZDDP6tRVdQTgxJg,https://p.scdn.co/mp3-preview/e8cbef539a2a32def5e66968cc00769a4f523c1c?cid=b8d3901151d34489a160e3cf0ab1fa94,Midnight Memories (Deluxe),False,245493.0,81.0,0.6,0.663,3.0,-5.802,1.0,0.0477,0.225,0.0,0.119,0.286,121.07,4.0,dance pop,pop
"Bang BangJessie J, Ariana Grande & Nicki Minaj","Jessie J, Ariana Grande & Nicki Minaj",Bang Bang,"['australian pop', 'dance pop', 'pop', 'pop rap', 'post-teen pop', 'uk pop', 'viral pop']",0puf9yIluy9W0vpMEUoAnN,,Sweet Talker (Deluxe Version),False,199386.0,79.0,0.706,0.786,0.0,-3.417,0.0,0.0909,0.26,0.0,0.38,0.749,150.035,4.0,dance pop,pop
"Sorry, Blame It On MeAkon",Akon,"Sorry, Blame It On Me","['dance pop', 'pop', 'pop rap']",11FLXIjJOGzx7H0n1bu5wz,,Konvicted,False,295720.0,59.0,0.713,0.643,7.0,-7.381,1.0,0.292,0.276,3.32e-05,0.0786,0.508,176.079,4.0,dance pop,pop
Blah Blah BlahKe$ha Featuring 3OH!3,Ke$ha Featuring 3OH!3,Blah Blah Blah,[],,,,,,,,,,,,,,,,,,,,
Strange CloudsB.o.B Featuring Lil Wayne,B.o.B Featuring Lil Wayne,Strange Clouds,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",0yQw3d0iQDjMrxaVHFv77J,https://p.scdn.co/mp3-preview/29376cadada3de68007a276b185fb3f9fadc9918?cid=b8d3901151d34489a160e3cf0ab1fa94,Strange Clouds,True,226293.0,61.0,0.531,0.665,8.0,-6.672,0.0,0.286,0.0607,0.0,0.131,0.8,73.726,4.0,dance pop,pop
Begin AgainTaylor Swift,Taylor Swift,Begin Again,"['pop', 'post-teen pop']",0L4YCNRfXAoTvdpWeH2RGj,,Red,False,237613.0,57.0,0.467,0.532,7.0,-8.277,1.0,0.0271,0.199,3.33e-06,0.24,0.321,78.748,4.0,pop,pop
Rap GodEminem,Eminem,Rap God,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",6or1bKJiZ06IlK0vFvY75k,,The Marshall Mathers LP2 (Deluxe),True,363521.0,79.0,0.708,0.843,7.0,-2.66,1.0,0.314,0.397,0.0,0.799,0.625,148.14,4.0,rap,rap
Speed Of SoundColdplay,Coldplay,Speed Of Sound,"['permanent wave', 'pop']",7clUVcSOtkNWa58Gw5RfD4,https://p.scdn.co/mp3-preview/739f1ff67c5b9a416d7a1136c2e15b53a67bdce9?cid=b8d3901151d34489a160e3cf0ab1fa94,X&Y,False,287906.0,70.0,0.523,0.898,11.0,-6.765,0.0,0.0567,0.00491,0.0345,0.0746,0.355,123.085,4.0,pop,pop
Can't Be TamedMiley Cyrus,Miley Cyrus,Can't Be Tamed,"['dance pop', 'pop', 'post-teen pop']",2r6DdaSbkbwoPzuK6NjLPn,,Can't Be Tamed,False,168213.0,62.0,0.637,0.919,7.0,-2.842,1.0,0.143,0.0359,0.0,0.22,0.793,116.987,4.0,dance pop,pop
Speak NowTaylor Swift,Taylor Swift,Speak Now,"['pop', 'post-teen pop']",1nYWTzy5zu3zEPNgB1sItW,,Speak Now (Deluxe Edition),False,240760.0,53.0,0.709,0.599,7.0,-3.734,1.0,0.0304,0.095,0.0,0.0973,0.735,118.975,4.0,pop,pop
Teenage DreamGlee Cast,Glee Cast,Teenage Dream,"['glee club', 'hollywood', 'post-teen pop']",2bIswilW8apEYGJcMSHPKA,https://p.scdn.co/mp3-preview/dfb21ade3c021407519e09c3f3c25142f907cf66?cid=b8d3901151d34489a160e3cf0ab1fa94,Teenage Dream (Glee Cast Version,False,225346.0,55.0,0.493,0.362,2.0,-9.56,1.0,0.0384,0.74,0.0,0.0966,0.65,129.739,4.0,post-teen pop,pop
SkyfallAdele,Adele,Skyfall,"['british soul', 'pop', 'uk pop']",6VObnIkLVruX4UVyxWhlqm,https://p.scdn.co/mp3-preview/68c26fb120ac16730ad0ac1c46e5bb9d9d60c70e?cid=b8d3901151d34489a160e3cf0ab1fa94,Skyfall (Full Length),False,286480.0,74.0,0.346,0.552,0.0,-6.864,0.0,0.0282,0.417,0.0,0.114,0.0789,75.881,4.0,pop,pop
SugarMaroon 5,Maroon 5,Sugar,"['pop', 'pop rock']",2iuZJX9X9P0GKaE93xcPjk,,V,True,235493.0,81.0,0.748,0.788,1.0,-7.055,1.0,0.0334,0.0591,0.0,0.0863,0.884,120.076,4.0,pop,pop
So WhatP!nk,P!nk,So What,"['dance pop', 'pop', 'post-teen pop']",0JiY190vktuhSGN6aqJdrt,https://p.scdn.co/mp3-preview/4fce142e082b70ea661ab7c3aa4610a1696bbff6?cid=b8d3901151d34489a160e3cf0ab1fa94,Funhouse (Expanded Edition),True,215160.0,69.0,0.534,0.87,11.0,-3.078,0.0,0.0425,0.000329,0.0,0.241,0.462,126.019,4.0,dance pop,pop
Bad RomanceLady Gaga,Lady Gaga,Bad Romance,"['dance pop', 'pop']",0SiywuOBRcynK0uKGWdCnn,,The Fame Monster (Deluxe Edition),True,294573.0,80.0,0.696,0.921,0.0,-3.755,1.0,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,4.0,dance pop,pop
6 Foot 7 FootLil Wayne Featuring Cory Gunz,Lil Wayne Featuring Cory Gunz,6 Foot 7 Foot,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",0z5ZPs57J2KERwM1tBM2GF,,Tha Carter IV (Deluxe),True,248586.0,71.0,0.365,0.751,2.0,-5.429,1.0,0.304,0.000707,0.0,0.318,0.604,79.119,4.0,pop rap,rap
Take CareDrake Featuring Rihanna,Drake Featuring Rihanna,Take Care,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",124NFj84ppZ5pAxTuVQYCQ,,Take Care (Deluxe),True,277386.0,72.0,0.629,0.515,0.0,-10.358,0.0,0.265,0.0267,1.22e-05,0.0888,0.299,121.845,4.0,pop rap,rap
StarshipsNicki Minaj,Nicki Minaj,Starships,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop', 'rap']",1oHNvJVbFkexQc0BpQp7Y4,,Pink Friday ... Roman Reloaded,True,210626.0,69.0,0.747,0.716,11.0,-2.457,0.0,0.075,0.135,0.0,0.251,0.751,125.008,4.0,dance pop,pop
ChangeTaylor Swift,Taylor Swift,Change,"['pop', 'post-teen pop']",1yACRKAwlXWhXXFUSkvzhD,,Fearless,False,280240.0,48.0,0.541,0.77,5.0,-4.17,1.0,0.0354,0.00408,0.0,0.117,0.215,96.013,4.0,pop,pop
