Song,Performer,SongID,Year,Peak Position,Artist_Name
Run It!,Chris Brown,Run It!Chris Brown,2005,1.0,Chris Brown
Run It!,Chris Brown,Run It!Chris Brown,2006,1.0,Chris Brown
Baby,Justin Bieber Featuring Ludacris,BabyJustin Bieber Featuring Ludacris,2010,5.0,Glee Cast
Baby,Justin Bieber Featuring Ludacris,BabyJustin Bieber Featuring Ludacris,2010,5.0,Justin Bieber
Baby,Justin Bieber Featuring Ludacris,BabyJustin Bieber Featuring Ludacris,2010,5.0,LL Cool J
Baby,Justin Bieber Featuring Ludacris,BabyJustin Bieber Featuring Ludacris,2010,5.0,Fabolous
Baby,Justin Bieber Featuring Ludacris,BabyJustin Bieber Featuring Ludacris,2010,5.0,Ashanti
Baby,Justin Bieber Featuring Ludacris,BabyJustin Bieber Featuring Ludacris,2010,5.0,Brandy
Baby,Fabolous Featuring Mike Shorey,BabyFabolous Featuring Mike Shorey,2005,71.0,Glee Cast
Baby,Fabolous Featuring Mike Shorey,BabyFabolous Featuring Mike Shorey,2005,71.0,Justin Bieber
Baby,Fabolous Featuring Mike Shorey,BabyFabolous Featuring Mike Shorey,2005,71.0,LL Cool J
Baby,Fabolous Featuring Mike Shorey,BabyFabolous Featuring Mike Shorey,2005,71.0,Fabolous
Baby,Fabolous Featuring Mike Shorey,BabyFabolous Featuring Mike Shorey,2005,71.0,Ashanti
Baby,Fabolous Featuring Mike Shorey,BabyFabolous Featuring Mike Shorey,2005,71.0,Brandy
Baby,Glee Cast,BabyGlee Cast,2011,47.0,Glee Cast
Baby,Glee Cast,BabyGlee Cast,2011,47.0,Justin Bieber
Baby,Glee Cast,BabyGlee Cast,2011,47.0,LL Cool J
Baby,Glee Cast,BabyGlee Cast,2011,47.0,Fabolous
Baby,Glee Cast,BabyGlee Cast,2011,47.0,Ashanti
Baby,Glee Cast,BabyGlee Cast,2011,47.0,Brandy
Baby,Ashanti,BabyAshanti,2002,15.0,Glee Cast
Baby,Ashanti,BabyAshanti,2002,15.0,Justin Bieber
Baby,Ashanti,BabyAshanti,2002,15.0,LL Cool J
Baby,Ashanti,BabyAshanti,2002,15.0,Fabolous
Baby,Ashanti,BabyAshanti,2002,15.0,Ashanti
Baby,Ashanti,BabyAshanti,2002,15.0,Brandy
Baby,LL Cool J Featuring The-Dream,BabyLL Cool J Featuring The-Dream,2008,52.0,Glee Cast
Baby,LL Cool J Featuring The-Dream,BabyLL Cool J Featuring The-Dream,2008,52.0,Justin Bieber
Baby,LL Cool J Featuring The-Dream,BabyLL Cool J Featuring The-Dream,2008,52.0,LL Cool J
Baby,LL Cool J Featuring The-Dream,BabyLL Cool J Featuring The-Dream,2008,52.0,Fabolous
Baby,LL Cool J Featuring The-Dream,BabyLL Cool J Featuring The-Dream,2008,52.0,Ashanti
Baby,LL Cool J Featuring The-Dream,BabyLL Cool J Featuring The-Dream,2008,52.0,Brandy
Blow Me (One Last Kiss),P!nk,Blow Me (One Last Kiss)P!nk,2012,5.0,P!nk
Blow Me (One Last Kiss),P!nk,Blow Me (One Last Kiss)P!nk,2013,5.0,P!nk
Call Me When You're Sober,Evanescence,Call Me When You're SoberEvanescence,2006,10.0,Evanescence
Call Me When You're Sober,Evanescence,Call Me When You're SoberEvanescence,2007,10.0,Evanescence
Don't Forget About Us,Mariah Carey,Don't Forget About UsMariah Carey,2005,1.0,Mariah Carey
Don't Forget About Us,Mariah Carey,Don't Forget About UsMariah Carey,2006,1.0,Mariah Carey
Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee","Shake Ya TailfeatherNelly, P. Diddy & Murphy Lee",2003,1.0,Nelly
Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee","Shake Ya TailfeatherNelly, P. Diddy & Murphy Lee",2004,1.0,Nelly
Can't Hold Us Down,Christina Aguilera Featuring Lil' Kim,Can't Hold Us DownChristina Aguilera Featuring Lil' Kim,2003,12.0,Christina Aguilera
Shawty,Plies Featuring T-Pain,ShawtyPlies Featuring T-Pain,2007,9.0,Plies
She Wolf,Shakira,She WolfShakira,2009,11.0,Shakira
Switch,Will Smith,SwitchWill Smith,2005,7.0,Will Smith
Pimpin' All Over The World,Ludacris Featuring Bobby Valentino,Pimpin' All Over The WorldLudacris Featuring Bobby Valentino,2005,9.0,Ludacris
Ride Wit Me,Nelly Featuring City Spud,Ride Wit MeNelly Featuring City Spud,2001,3.0,Nelly
Royals,Lorde,RoyalsLorde,2013,1.0,Taylor John Williams
Royals,Lorde,RoyalsLorde,2013,1.0,Lorde
Royals,Lorde,RoyalsLorde,2014,1.0,Taylor John Williams
Royals,Lorde,RoyalsLorde,2014,1.0,Lorde
Royals,Taylor John Williams,RoyalsTaylor John Williams,2014,100.0,Taylor John Williams
Royals,Taylor John Williams,RoyalsTaylor John Williams,2014,100.0,Lorde
Dirt Off Your Shoulder,JAY-Z,Dirt Off Your ShoulderJAY-Z,2004,5.0,Jay-Z
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,Ass Back HomeGym Class Heroes Featuring Neon Hitch,2012,12.0,Gym Class Heroes
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,Ass Back HomeGym Class Heroes Featuring Neon Hitch,2011,12.0,Gym Class Heroes
Butterfly,Crazy Town,ButterflyCrazy Town,2001,1.0,Crazy Town
Butterfly,Crazy Town,ButterflyCrazy Town,2001,1.0,Danyel Gerard
Poker Face,Lady Gaga,Poker FaceLady Gaga,2009,1.0,Glee Cast
Poker Face,Lady Gaga,Poker FaceLady Gaga,2009,1.0,Lady Gaga
